,post,month_sin,month_cos,doy_sin,doy_cos,Pb_lag1,Pb_lag2,Pb_roll3_mean,Cd,As,Cr,Cu,temp_mean,temp_min,temp_max,temp_std,wind_speed_mean,wind_speed_max,wind_dir_mean,rainy_share,snowy_share,foggy_share,dust_share,haze_share
Cr,5.750715577348972e-05,4.026374145235772e-05,2.3167205740227098e-05,1.5471614669410607e-05,1.1719031357386852e-05,0.00016495629150527395,2.5277284552427657e-05,6.235561910436595e-05,0.00021520404497763567,7.857782767267255e-06,0.0006639381018897512,0.0003146439165698414,2.1936590139503672e-05,2.145788634012479e-05,3.0413695522508556e-05,2.5894638877875414e-05,1.60199426994052e-05,1.79373026676673e-05,2.6118389114384654e-05,4.653575016638476e-06,7.710089755003508e-06,0.0,0.0,5.851705342827203e-06
Cu,5.954876488150858e-05,0.00012781769181406495,4.693362471385036e-05,9.291259909627132e-05,6.273216308678919e-05,0.0003048266890258506,9.61531521098557e-05,0.00034932275775892733,0.0001564090369759768,3.443591547883055e-05,0.00031464391656984143,0.014805812940875417,4.094806147049502e-05,4.953476151266284e-05,2.8727453345720963e-05,0.0001596879811726677,7.311988455675986e-05,0.00045175006477947026,4.0305797037428226e-05,4.161859944198558e-06,2.4088341349240564e-05,0.0,0.0,4.697535478154056e-05
temp_mean,1.5311242792897135e-05,6.511481508426029e-05,1.797223947671048e-05,1.7890363166557746e-05,1.371163356862455e-05,7.168499855908553e-05,1.9859962930353544e-05,5.429022351100905e-05,5.2315376012454554e-05,3.4706704060094547e-06,2.1936590139503672e-05,4.094806147049499e-05,0.00036341344725982855,1.176097348115972e-05,3.3514765636728735e-06,1.8327393673213395e-05,8.809488518116457e-06,1.0290183343559367e-05,1.070143914909263e-05,3.5868879053173464e-06,4.78451836608202e-06,0.0,0.0,3.25499065184672e-06
temp_min,2.364602984980874e-05,3.453936829550979e-05,2.6046440115805072e-05,4.987573048837063e-05,1.6343888978606646e-05,5.864202572796991e-05,1.5820501646170493e-05,5.98388757612238e-05,3.930387239605619e-05,3.7296295974880663e-06,2.145788634012479e-05,4.953476151266282e-05,1.1760973481159718e-05,0.00046440835252462465,1.3986942829188146e-05,2.0894931073002067e-05,7.179866427985568e-06,1.548041910206991e-05,1.0975736560409852e-05,3.235501247461001e-06,5.4080398724944575e-06,0.0,0.0,2.9689421615686056e-06
temp_max,9.11176233839445e-06,6.946487282851896e-05,5.927051213637713e-06,1.822010298471088e-05,3.422795439104708e-05,5.408580052293794e-05,4.874245929775314e-06,3.112720215248505e-05,4.148379683970495e-05,2.0126121292199286e-06,3.0413695522508567e-05,2.872745334572098e-05,3.351476563672878e-06,1.3986942829188155e-05,0.00020759800046962017,4.347364645874621e-05,5.557990174808578e-06,5.565591568060384e-06,7.857464010791402e-06,5.138865803731769e-07,1.1583233159810943e-06,0.0,0.0,3.669703633175648e-06
temp_std,5.015005240617667e-05,0.00011347993315451494,1.8079065874199132e-05,4.05918935157457e-05,1.3621176156863021e-05,8.916930632315636e-05,1.4520360794435606e-05,4.012943265928671e-05,4.019156673638397e-05,7.435111607887552e-06,2.589463887787542e-05,0.0001596879811726677,1.8327393673213395e-05,2.0894931073002063e-05,4.347364645874621e-05,0.0009888456688367181,3.3865880171451174e-05,1.730979455040401e-05,1.0897094910270638e-05,6.681711777329773e-07,1.3052727473217274e-06,0.0,0.0,6.830475429543351e-06
wind_speed_mean,8.378932018826682e-06,1.1484276399742375e-05,3.257410205168589e-06,1.4979983731989345e-05,4.025222229624994e-06,6.313691853392882e-05,8.15512167627401e-06,2.0624443962996284e-05,2.6970635346744204e-05,2.2510325699761936e-06,1.6019942699405198e-05,7.31198845567598e-05,8.809488518116459e-06,7.179866427985565e-06,5.557990174808579e-06,3.3865880171451174e-05,0.00012576297539829633,4.1189069436810255e-06,6.204403050623234e-06,6.403784282333905e-07,1.6308380648227645e-06,0.0,0.0,1.314541970524742e-06
wind_speed_max,7.5067967472202786e-06,2.3892875118180843e-05,6.886056616056641e-06,5.698789547393398e-05,9.59809615141956e-06,8.510114151519579e-05,1.3704009087258921e-05,7.343977057894646e-05,0.00014941844519364926,0.00022300451254640992,1.7937302667667294e-05,0.0004517500647794703,1.0290183343559366e-05,1.5480419102069907e-05,5.5655915680603854e-06,1.7309794550404003e-05,4.118906943681026e-06,0.0012717878190457938,1.1248037264554325e-05,2.2233022823692034e-06,3.2154658704321876e-06,0.0,0.0,1.809801436822675e-06
wind_dir_mean,1.0096623306363113e-05,1.8184932190639483e-05,9.715215518060832e-06,4.139981093634008e-06,1.0645988632352382e-05,8.62507741173544e-05,3.1525653544216183e-06,2.9910000242530886e-05,2.007873566377758e-05,1.314002248719335e-06,2.6118389114384665e-05,4.030579703742822e-05,1.0701439149092631e-05,1.0975736560409853e-05,7.857464010791398e-06,1.089709491027064e-05,6.204403050623235e-06,1.1248037264554321e-05,9.416649310497967e-05,1.8879015730447719e-06,2.3600872324214128e-06,0.0,0.0,1.897514161752814e-06
rainy_share,5.484707085966028e-06,3.935862887696078e-06,0.0,2.9996250776057847e-06,8.135390554083526e-07,1.539254158201989e-05,7.928361483713323e-06,7.770795699400693e-07,1.523433289166828e-06,1.3981951487549701e-07,4.653575016638479e-06,4.16185994419858e-06,3.5868879053173464e-06,3.2355012474610025e-06,5.138865803731769e-07,6.681711777329771e-07,6.403784282333903e-07,2.223302282369202e-06,1.8879015730447719e-06,1.4092855721287776e-05,0.0,0.0,0.0,4.791150754719447e-06
snowy_share,2.360203360913245e-06,5.401031661861505e-06,2.1558522345580627e-06,2.7793355417892355e-06,2.4270803863232255e-06,3.7082250270585074e-05,0.0,9.725847786567947e-06,2.91542979807592e-06,1.0406452622971454e-06,7.710089755003504e-06,2.4088341349240568e-05,4.7845183660820195e-06,5.4080398724944575e-06,1.158323315981094e-06,1.3052727473217283e-06,1.6308380648227624e-06,3.2154658704321876e-06,2.3600872324214128e-06,0.0,7.797951549890124e-05,0.0,0.0,1.2671485626479875e-06
foggy_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dust_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haze_share,2.9936827439152017e-06,1.1019726272893455e-05,1.1180110245225119e-05,6.837006641904296e-06,6.196500505279477e-06,7.881068710498748e-05,3.3022711407707793e-06,4.919964336038721e-05,1.7066159977863373e-05,3.2043362771046325e-06,5.851705342827205e-06,4.697535478154061e-05,3.2549906518467194e-06,2.968942161568605e-06,3.669703633175647e-06,6.830475429543347e-06,1.3145419705247433e-06,1.8098014368226705e-06,1.8975141617528154e-06,4.7911507547194485e-06,1.267148562647988e-06,0.0,0.0,0.0002845839613984425
